id,name
354,Horse Trader
355,Horse Trainer
356,Horticultural Consultant
357,Horticulturalist
358,Hosiery Mechanic
359,Hosiery Worker
360,Hospital Consultant
361,Hospital Doctor
362,Hospital Manager
363,Hospital Orderly
364,Hospital Technician
365,Hospital Warden
366,Hospital Worker
367,Hostess
368,Hot Foil Printer
369,Hotel Consultant
370,Hotel Worker
371,Hotelier
372,Househusband
373,Housekeeper
374,Housewife
375,Housing Assistant
376,Housing Officer
377,Housing Supervisor
378,Hygienist
379,Hypnotherapist
380,Hypnotist
381,IT Consultant
382,IT Manager
383,IT Trainer
384,Ice Cream Vendor
385,Illustrator
386,Immigration Officer
387,Import Consultant
388,Importer
389,Independent Means
390,Induction Moulder
391,Industrial Chemist
392,Industrial Consultant
393,Injection Moulder
394,Inspector
395,Instructor
396,Instrument Engineer
397,Instrument Maker
398,Instrument Supervisor
399,Instrument Technician
400,Insurance Agent
401,Insurance Assessor
402,Insurance Broker
403,Insurance Consultant
404,Insurance Inspector
405,Insurance Staff
406,Interior Decorator
407,Interior Designer
408,Interpreter
409,Interviewer
410,Inventor
411,Investigator
412,Investment Advisor
413,Investment Banker
414,Investment Manager
415,Investment Strategist
416,Ironmonger
417,Janitor
418,Jazz Composer
419,Jeweller
420,Jewellery
421,Jockey
422,Joiner
423,Joinery Consultant
424,Journalist
425,Judge
426,Keep Fit Instructor
427,Kennel Hand
428,Kitchen Worker
429,Knitter
430,Labelling Operator
431,Laboratory Analyst
432,Labourer
433,Laminator
434,Lampshade Maker
435,Land Agent
436,Land Surveyor
437,Landlady
438,Landlord
439,Landowner
440,Landworker
441,Lathe Operator
442,Laundry Staff
443,Laundry Worker
444,Lavatory Attendant
445,Law Clerk
446,Lawn Mower
447,Lawyer
448,Leaflet Distributor
449,Leather Worker
450,Lecturer
451,Ledger Clerk
452,Legal Advisor
453,Legal Assistant
454,Legal Executive
455,Legal Secretary
456,Letting Agent
457,Liaison Officer
458,Librarian
459,Library Manager
460,Licensed Premises
461,Licensee
462,Licensing
463,Lifeguard
464,Lift Attendant
465,Lift Engineer
466,Lighterman
467,Lighthouse Keeper
468,Lighting Designer
469,Lighting Technician
470,Lime Kiln Attendant
471,Line Manager
472,Line Worker
473,Lineman
474,Linguist
475,Literary Agent
476,Literary Editor
477,Lithographer
478,Litigation Manager
479,Loans Manager
480,Local Government
481,Lock Keeper
482,Locksmith
483,Locum Pharmacist
484,Log Merchant
485,Lorry Driver
486,Loss Adjustor
487,Loss Assessor
488,Lumberjack
489,Machine Fitters
490,Machine Minder
491,Machine Operator
492,Machine Setter
493,Machine Tool
494,Machine Tool Fitter
495,Machinist
496,Magician
497,Magistrate
498,Magistrates Clerk
499,Maid
500,Maintenance Fitter
501,Make Up Artist
502,Manicurist
503,Manufacturing
504,Map Mounter
505,Marble Finisher
506,Marble Mason
507,Marine Broker
508,Marine Consultant
509,Marine Electrician
510,Marine Engineer
511,Marine Geologist
512,Marine Pilot
513,Marine Surveyor
514,Market Gardener
515,Market Research
516,Market Researcher
517,Market Trader
518,Marketing Agent
519,Marketing Assistant
520,Marketing Coordinator
521,Marketing Director
522,Marketing Manager
523,Marquee Erector
524,Massage Therapist
525,Masseur
526,Masseuse
527,Master Mariner
528,Materials Controller
529,Materials Manager
530,Mathematician
531,Maths Teacher
532,Matron
533,Mattress Maker
534,Meat Inspector
535,Meat Wholesaler
536,Mechanic
537,Medal Dealer
538,Medical Advisor
539,Medical Assistant
540,Medical Consultant
541,Medical Officer
542,Medical Physicist
543,Medical Practitioner
544,Medical Researcher
545,Medical Secretary
546,Medical Student
547,Medical Supplier
548,Medical Technician
549,Merchandiser
550,Merchant
551,Merchant Banker
552,Merchant Seaman
553,Messenger
554,Metal Dealer
555,Metal Engineer
556,Metal Polisher
557,Metal Worker
558,Metallurgist
559,Meteorologist
560,Meter Reader
561,Microbiologist
562,Midwife
563,Military Leader
564,Milklady
565,Milkman
566,Mill Operator
567,Mill Worker
568,Miller
569,Milliner
570,Millwright
571,Miner
572,Mineralologist
573,Minibus Driver
574,Minicab Driver
575,Mining Consultant
576,Mining Engineer
577,Money Broker
578,Moneylender
579,Mooring Contractor
580,Mortgage Broker
581,Mortician
582,Motor Dealer
583,Motor Engineer
584,Motor Fitter
585,Motor Mechanic
586,Motor Racing
587,Motor Trader
588,Museum Assistant
589,Museum Attendant
590,Music Teacher
591,Musician
592,Nanny
593,Navigator
594,Negotiator
595,Neurologist
596,Newsagent
597,Night Porter
598,Night Watchman
599,Nuclear Scientist
600,Nun
601,Nurse
602,Nursery Assistant
603,Nursery Nurse
604,Nursery Worker
605,Nurseryman
606,Nursing Assistant
607,Nursing Auxiliary
608,Nursing Manager
609,Nursing Sister
610,Nutritionist
611,Off Shore
612,Office Manager
613,Office Worker
614,Oil Broker
615,Oil Rig Crew
616,Opera Singer
617,Operations
618,Operative
619,Operator
620,Optical
621,Optical Advisor
622,Optical Assistant
623,Optician
624,Optometrist
625,Orchestral
626,Organiser
627,Organist
628,Ornamental
629,Ornithologist
630,Orthopaedic
631,Orthoptist
632,Osteopath
633,Outdoor Pursuits
634,Outreach Worker
635,Packaging
636,Packer
637,Paediatrician
638,Paint Consultant
639,Painter
640,Palaeobotanist
641,Palaeontologist
642,Pallet Maker
643,Panel Beater
644,Paramedic
645,Park Attendant
646,Park Keeper
647,Park Ranger
648,Partition Erector
649,Parts Man
650,Parts Manager
651,Parts Supervisor
652,Party Planner
653,Pasteuriser
654,Pastry Chef
655,Patent Agent
656,Patent Attorney
657,Pathologist
658,Patrolman
659,Pattern Cutter
660,Pattern Maker
661,Pattern Weaver
662,Pawnbroker
663,Payroll Assistant
664,Payroll Clerk
665,Payroll Manager
666,Payroll Supervisor
